标题,小区,区域,总价,单价,户型,面积,朝向,装修情况,楼层类别,总层数,建筑类型
庄桥地铁口 满五唯一 看房方便 房东诚心卖,庄桥公寓 ,东亭, 155万,"9,865元/平",4室1厅 , 157.13平米 , 南 , 简装 , 高楼层,共6层, 暂无数据
东华公寓 4室2厅 南 北,东华公寓 ,东亭, 193万,"11,250元/平",4室2厅 , 171.57平米 , 南 北 , 精装 , 中楼层,共6层, 板楼
精装修，大平层，三开间朝南，电梯房，采光无遮挡,芙蓉山庄A区 ,东北塘, 184万,"11,949元/平",3室2厅 , 154平米 , 南 , 精装 , 中楼层,共28层, 板楼
地铁2号线庄桥地铁口600米2楼小3房出售,鑫业园 ,东亭, 122万,"12,875元/平",3室1厅 , 94.76平米 , 南 , 简装 , 低楼层,共6层, 暂无数据
长泰北区 采光无遮挡 视野好  自住装修,长泰国际社区 ,东亭, 146万,"16,803元/平",3室2厅 , 86.89平米 , 南 , 精装 , 中楼层,共34层, 塔楼
融科玖御半岛 2室1厅 南,融科玖御半岛 ,东北塘, 132万,"14,807元/平",2室1厅 , 89.15平米 , 南 , 精装 , 中楼层,共24层, 塔楼
金锡苑 4室2厅 南,金锡苑 ,东亭, 188万,"12,732元/平",4室2厅 , 147.67平米 , 南 , 精装 , 高楼层,共6层, 板塔结合
诺卡小镇精装大两房 锡山八佰伴旁 房东诚心出售,中大诺卡小镇 ,东亭, 150万,"16,704元/平",2室1厅 , 89.8平米 , 南 , 精装 , 低楼层,共18层, 板楼
荟聚旁，地铁口，商圈密集区域，交通方便出行。,蓝光雍锦园 ,东亭, 260万,"17,476元/平",4室2厅 , 148.78平米 , 南 北 , 简装 , 高楼层,共33层, 板楼
芙蓉山庄，小面积，楼层好，多多推荐！,芙蓉山庄A区 ,东北塘, 69.8万,"10,321元/平",1室1厅 , 67.63平米 , 南 , 简装 , 高楼层,共25层, 板楼
东旺新村商品房两房出售好楼层看房方便 诚心卖,东旺新村 ,东北塘, 96.6万,"12,369元/平",2室1厅 , 78.1平米 , 南 , 精装 , 中楼层,共4层, 暂无数据
东亭大两房，电梯房。适合陪读 居住,华夏绅泰苑 ,东亭, 150万,"15,485元/平",2室2厅 , 96.87平米 , 南 , 精装 , 高楼层,共10层, 塔楼
长泰南区 两房人车分流  采光充足  环境好,长泰国际社区 ,东亭, 160万,"18,088元/平",2室2厅 , 88.46平米 , 南 , 精装 , 中楼层,共21层, 板楼
新社区 锦绣花园 商品房 总价低 适合刚需,锦绣花园(锡山区) ,东亭, 112万,"11,681元/平",2室2厅 , 95.89平米 , 南 , 简装 , 中楼层,共6层, 板楼
长泰国际社区 3室1厅 南,长泰国际社区 ,东亭, 162万,"18,312元/平",3室1厅 , 88.47平米 , 南 , 精装 , 低楼层,共34层, 板楼
此房楼层较好 视野宽阔 采光充足 户型方正 交通便利,豪门·君怡花苑 ,东亭, 160万,"16,044元/平",2室2厅 , 99.73平米 , 南 , 精装 , 高楼层,共22层, 板楼
庄桥地铁口200米，商品房性质，2室1厅,金福北苑 ,东亭, 108万,"15,598元/平",2室1厅 , 69.24平米 , 南 , 精装 , 低楼层,共9层, 板楼
四期精装两房，户型好，价格低.,中大诺卡小镇 ,东亭, 140万,"15,123元/平",2室2厅 , 92.58平米 , 南 , 简装 , 低楼层,共17层, 板塔结合
满五唯一 家具家电全留 业主诚心出售 户型好,芙蓉山庄A区 ,东北塘, 170万,"11,045元/平",3室2厅 , 153.92平米 , 南 , 精装 , 低楼层,共28层, 板楼
商品房 税费低 首付3成 业主诚售 欢迎看房,隆亭新苑 ,东亭, 140万,"15,766元/平",2室1厅 , 88.8平米 , 南 , 简装 , 高楼层,共31层, 板楼
此房精装修买一层带一层 满五唯一 拎包入住,华夏青城怡景苑 ,锡北, 132万,"13,662元/平",2室1厅 , 96.62平米 , 南 , 精装 , 高楼层,共5层, 板楼
华夏青城怡景苑 4室2厅 南,华夏青城怡景苑 ,锡北, 135万,"13,806元/平",4室2厅 , 97.79平米 , 南 , 精装 , 高楼层,共6层, 板楼
东坊雅居 中高楼层 无抵押 税费少 朝南 电梯房 通燃气,东坊雅居 ,东亭, 63万,"12,858元/平",1室1厅 , 49平米 , 南 , 精装 , 高楼层,共18层, 板楼
汇聚旁 地铁口经典三房 三开朝南楼层好户型方正,长泰国际社区 ,东亭, 128万,"14,732元/平",3室2厅 , 86.89平米 , 南 北 , 简装 , 中楼层,共34层, 塔楼
华夏青城顶带阁楼，精装自住装修，房东诚心出售,华夏青城怡景苑 ,锡北, 143万,"14,427元/平",4室2厅 , 99.12平米 , 南 , 精装 , 高楼层,共6层, 板楼
两开间朝南，大客厅，有飘窗，采光充足,东顺苑 ,东北塘, 73万,"10,189元/平",1室1厅 , 71.65平米 , 南 , 毛坯 , 高楼层,共30层, 板塔结合
八佰伴 柏庄地铁口 鸿发家园自住三房 中间楼层 性价高,鸿发家园 ,东亭, 145万,"14,148元/平",2室2厅 , 102.49平米 , 南 北 , 精装 , 中楼层,共6层, 塔楼
此房满五唯一，格局好，房东自住房保养得宜可拎包入住,华夏青城怡景苑 ,锡北, 152万,"11,743元/平",3室2厅 , 129.44平米 , 南 , 精装 , 低楼层,共6层, 板楼
房子在小区 中间位置 中间楼层 看房随时,豪门·君怡花苑 ,东亭, 152万,"16,262元/平",2室2厅 , 93.47平米 , 南 , 简装 , 中楼层,共16层, 板楼
房子精装修  随时看房 拎包入住,芙蓉山庄A区 ,东北塘, 67万,"9,853元/平",2室1厅 , 68平米 , 南 , 精装 , 低楼层,共28层, 板楼
此房满五，精装修，顶带阁楼面积大，二楼带个大露台。,华夏青城怡景苑 ,锡北, 158万,"15,941元/平",3室2厅 , 99.12平米 , 南 , 精装 , 高楼层,共6层, 板楼
满五唯一，环境很好，配套齐全，交通方便，房东诚心，,芙蓉山庄A区 ,东北塘, 105万,"12,064元/平",3室2厅 , 87.04平米 , 南 , 精装 , 高楼层,共28层, 板楼
两开间朝南，大客厅，有飘窗，采光充足,东顺苑 ,东北塘, 73万,"10,189元/平",1室1厅 , 71.65平米 , 南 , 毛坯 , 高楼层,共30层, 板塔结合
此房满五，精装修，顶带阁楼面积大，二楼带个大露台。,华夏青城怡景苑 ,锡北, 158万,"15,941元/平",3室2厅 , 99.12平米 , 南 , 精装 , 高楼层,共6层, 板楼
八佰伴 柏庄地铁口 鸿发家园自住三房 中间楼层 性价高,鸿发家园 ,东亭, 145万,"14,148元/平",2室2厅 , 102.49平米 , 南 北 , 精装 , 中楼层,共6层, 塔楼
房子精装修  随时看房 拎包入住,芙蓉山庄A区 ,东北塘, 67万,"9,853元/平",2室1厅 , 68平米 , 南 , 精装 , 低楼层,共28层, 板楼
"商品房,纯毛坯,可随意按自己风格装修",景苑安置房一期（资景苑） ,东亭, 130万,"13,997元/平",2室1厅 , 92.88平米 , 南 北 , 毛坯 , 高楼层,共33层, 板楼
三室两厅纯毛坯，中间户，满五唯一，视野好,芙蓉山庄A区 ,东北塘, 140万,"9,096元/平",3室2厅 , 153.92平米 , 南 北 , 毛坯 , 中楼层,共28层, 板楼
长泰国际社区 3室2厅 南,长泰国际社区 ,东亭, 120万,"13,628元/平",3室2厅 , 88.06平米 , 南 , 简装 , 高楼层,共34层, 板楼
精装两房，楼层佳，带车位，房东诚心出售,芙蓉山庄A区 ,东北塘, 80万,"11,830元/平",2室2厅 , 67.63平米 , 南 , 精装 , 中楼层,共25层, 平房
自住房，精装修价格美丽。欢迎来电咨询,芙蓉山庄A区 ,东北塘, 99万,"11,347元/平",2室1厅 , 87.25平米 , 西 , 精装 , 高楼层,共25层, 平房
带车位！芙蓉山庄A区精装小两房  拎包入住,芙蓉山庄A区 ,东北塘, 70万,"10,351元/平",2室1厅 , 67.63平米 , 南 , 精装 , 中楼层,共25层, 板楼
八佰伴 嘉园一居室  保养好 视野开阔 交通便捷好,嘉园小区 ,东亭, 73万,"12,380元/平",1室1厅 , 58.97平米 , 南 , 精装 , 中楼层,共8层, 板楼
华夏新时代 精装修 税费少 总价低 有20平车库,华夏新时代紫汀苑 ,安镇, 127万,"13,592元/平",2室1厅 , 93.44平米 , 南 , 简装 , 中楼层,共6层, 板楼
锡东大润发旁 精装两房 满五还带车位 随时看房,豪景东苑 ,安镇, 108万,"12,486元/平",2室2厅 , 86.5平米 , 南 , 简装 , 低楼层,共5层, 板楼
华夏紫盯苑大三房。业主诚心出售。,华夏新时代紫汀苑 ,安镇, 142万,"12,397元/平",3室2厅 , 114.55平米 , 南 , 简装 , 低楼层,共6层, 板楼
豪景东苑精装洋房  满五唯一 通透户型 无抵押,豪景东苑 ,安镇, 152万,"14,938元/平",3室1厅 , 101.76平米 , 南 , 精装 , 高楼层,共9层, 板楼
建发中式园林风格，纯叠墅区，诚心出售，看房方便,建发玖里湾1期3期 ,安镇, 570万,"22,716元/平",4室2厅 , 250.93平米 , 南 , 毛坯 , 低楼层,共4层, 暂无数据
玫瑰香堤边套3房，高楼层 采光好 随时看房,玫瑰香堤 ,东北塘, 130万,"14,972元/平",3室1厅 , 86.83平米 , 南 , 简装 ,,, 板楼
土出已交，看房方便，楼层采光好，户型方正,大诚苑 ,安镇, 83万,"9,976元/平",2室2厅 , 83.2平米 , 南 , 毛坯 , 高楼层,共6层, 暂无数据
此房满五年可以正常交易，带装修，保养好，采光好,大诚苑 ,安镇, 90万,"10,246元/平",2室2厅 , 87.84平米 , 南 , 简装 , 中楼层,共11层, 暂无数据
自住精装两房，前方无遮挡，房东诚心出售。,长泰国际社区 ,东亭, 150万,"16,965元/平",2室2厅 , 88.42平米 , 南 , 精装 , 低楼层,共21层, 板楼
鑫安润和里、精装2房楼层好视野开阔,鑫安苑润和里 ,安镇, 85万,"9,891元/平",2室2厅 , 85.94平米 , 南 , 精装 , 中楼层,共11层, 板楼
精装三房，采光还行，房东诚心出售,无锡碧桂园领誉 ,安镇, 260万,"27,778元/平",3室1厅 , 93.6平米 , 南 北 , 精装 , 高楼层,共18层, 板楼
精装修，房东诚心售，楼层佳，中间位置，采光无遮挡。,龙湖九里香醍北区 ,安镇, 215万,"25,141元/平",3室1厅 , 85.52平米 , 南 , 精装 , 低楼层,共29层, 板楼
因业主离开无锡 忍痛急卖 精装未住过 满五唯一,无锡碧桂园领誉 ,安镇, 198万,"23,352元/平",2室2厅 , 84.79平米 , 南 , 精装 , 中楼层,共18层, 板楼
豪景东苑一室一厅精装修 拎包入住,豪景东苑 ,安镇, 85万,"14,947元/平",1室1厅 , 56.87平米 , 南 , 精装 , 低楼层,共15层, 板楼
江南坊电梯精装大三房，采光通风视野好,江南坊 ,安镇, 190万,"14,323元/平",3室2厅 , 132.66平米 , 南 , 精装 , 中楼层,共11层, 板楼
碧桂园少有的四房，位置好，视野开阔，全天采光,无锡碧桂园领誉 ,安镇, 370万,"25,792元/平",4室2厅 , 143.46平米 , 南 , 精装 , 高楼层,共18层, 板楼
世纪锦园南区，精装大四房，拎包入住，采光通风好,华夏世纪锦园南区 ,安镇, 200万,"14,456元/平",4室2厅 , 138.36平米 , 南 , 精装 , 中楼层,共15层, 板楼
宛山湖旁    精装大两房  电梯房,大诚苑 ,安镇, 85万,"9,199元/平",2室2厅 , 92.41平米 , 南 , 精装 , 低楼层,共11层, 板楼
建发玖里湾一期上叠纯毛坯带车位450万,建发玖里湾1期3期 ,安镇, 450万,"33,438元/平",4室2厅 , 134.58平米 , 南 , 毛坯 , 中楼层,共4层, 暂无数据
自住精装两房，前方无遮挡，房东诚心出售。,长泰国际社区 ,东亭, 150万,"16,965元/平",2室2厅 , 88.42平米 , 南 , 精装 , 低楼层,共21层, 板楼
鑫安润和里、精装2房楼层好视野开阔,鑫安苑润和里 ,安镇, 85万,"9,891元/平",2室2厅 , 85.94平米 , 南 , 精装 , 中楼层,共11层, 板楼
小三房中上楼层，采光很好房，随时看。,玫瑰香堤 ,东北塘, 120万,"15,083元/平",2室2厅 , 79.56平米 , 南 , 毛坯 , 高楼层,共33层, 塔楼
金锡苑商品房不临街  价格可谈 诚心出售,金锡苑 ,东亭, 129.6万,"13,866元/平",2室1厅 , 93.47平米 , 南 , 简装 , 低楼层,共6层, 板楼
长泰国际社区 2室1厅 南,长泰国际社区 ,东亭, 130万,"17,420元/平",2室1厅 , 74.63平米 , 南 , 简装 , 中楼层,共23层, 板楼
地铁2号线东亭地铁口600米顶带阁2层182.66平2套的价格,华夏·春晓 ,东亭, 218万,"23,870元/平",4室3厅 , 91.33平米 , 南 , 精装 , 高楼层,共17层, 板楼
庄桥地铁口旁，商品房70年产权，3房急售,庄桥公寓 ,东亭, 135万,"9,891元/平",3室2厅 , 136.5平米 , 南 , 简装 , 高楼层,共6层, 暂无数据
满五唯一 玖御半岛 湖景大两房 景观楼层前排 随时看房,融科玖御半岛 ,东北塘, 112.5万,"12,625元/平",2室2厅 , 89.11平米 , 南 , 简装 , 高楼层,共23层, 板塔结合
适合刚需，房子经济实惠，房东诚心出售,芙蓉山庄A区 ,东北塘, 73万,"10,820元/平",2室1厅 , 67.47平米 , 南 , 简装 , 低楼层,共28层, 平房
东北塘商品房满五年105万价格可谈楼层好采光无遮挡,东旺新村 ,东北塘, 93万,"11,014元/平",2室2厅 , 84.44平米 , 南 , 精装 , 中楼层,共6层, 板楼
碧桂园领誉边套大三房两卫 中楼层采光无遮挡 随时看房,无锡碧桂园领誉 ,安镇, 280万,"21,570元/平",3室1厅 , 129.81平米 , 南 , 精装 , 中楼层,共23层, 板楼
东亭华夏春晓精装三房 拎包入住。随时方便看,华夏·春晓 ,东亭, 189万,"14,757元/平",3室2厅 , 128.08平米 , 南 , 精装 , 高楼层,共23层, 板楼
东璟家园  次新小区 两房朝南  诚心卖  近湿地公园,东璟家园A区 ,东亭, 110万,"13,816元/平",2室1厅 , 79.62平米 , 东南 南 , 精装 , 高楼层,共31层, 塔楼
东璟家园 精装两房 中间楼层 看房方便,东璟家园A区 ,东亭, 105万,"11,616元/平",2室1厅 , 90.4平米 , 南 , 毛坯 , 高楼层,共27层, 板楼
怡东雅苑 3室2厅 南,怡东雅苑 ,安镇, 330万,"24,071元/平",3室2厅 , 137.1平米 , 南 , 精装 , 高楼层,共26层, 塔楼
全天采光 视野开阔  户型方正 诚心出售,恒大绿洲三期 ,东亭, 155万,"19,306元/平",2室2厅 , 80.29平米 , 南 , 精装 , 中楼层,共31层, 板楼
成熟小区，楼层好采光无遮挡，精装修，诚心出售,东苑花园 ,东北塘, 150万,"11,093元/平",4室1厅 , 135.23平米 , 南 , 精装 , 中楼层,共6层, 板塔结合
次新小区 人车分流 中间楼层 房东急售,玫瑰香堤 ,东北塘, 132万,"14,978元/平",3室1厅 , 88.13平米 , 南 , 精装 ,,, 板楼
买精装修两房，配套齐全房东置换诚心出售,芙蓉山庄A区 ,东北塘, 68万,"10,079元/平",2室1厅 , 67.47平米 , 南 , 精装 , 低楼层,共28层, 板楼
东璟A区两室楼层好 采光无遮挡，房东翻修风格买家定！,东璟家园A区 ,东亭, 130万,"16,388元/平",2室2厅 , 79.33平米 , 南 , 精装 , 低楼层,共27层, 平房
宝城花园 3室2厅 南,宝城花园 ,东亭, 168万,"15,241元/平",3室2厅 , 110.23平米 , 南 , 简装 , 低楼层,共9层, 板楼
业主急售 有钥匙 随时看房 视野开阔 价格好谈 上二泉,东璟家园A区 ,东亭, 89.9万,"11,386元/平",2室1厅 , 78.96平米 , 南 , 毛坯 , 高楼层,共24层, 板楼
此价带大车库  地铁口 户型正 采光佳 保养好 业主急售,东泰花苑 ,东亭, 225万,"12,920元/平",4室2厅 , 174.15平米 , 南 北 , 精装 , 低楼层,共6层, 板楼
碧桂园三期，精装小三房，户型通透，房东自住，带车位,无锡碧桂园领誉 ,安镇, 247万,"25,313元/平",3室2厅 , 97.58平米 , 南 , 精装 , 低楼层,共27层, 板楼
芙蓉山庄A区 3室2厅 南,芙蓉山庄A区 ,东北塘, 85万,"9,766元/平",3室2厅 , 87.04平米 , 南 , 简装 , 高楼层,共28层, 板楼
荟聚旁，地铁口，次新小区，边套 位置好,蓝光雍锦园 ,东亭, 220万,"16,943元/平",3室2厅 , 129.85平米 , 南 , 毛坯 , 低楼层,共30层, 塔楼
急卖！芙蓉山庄精装两房，采光好，诚心出售,芙蓉山庄A区 ,东北塘, 73.5万,"10,894元/平",2室1厅 , 67.47平米 , 南 北 , 精装 , 低楼层,共28层, 板楼
东璟！次新小区！生活出行都很便利！,东璟家园A区 ,东亭, 110万,"12,159元/平",2室2厅 , 90.47平米 , 南 , 简装 , 高楼层,共24层, 板楼
云林苑西区 毛坯四房 带朝南车库 中间楼层  采光好,云林苑西区 ,东亭, 138万,"7,886元/平",4室2厅 , 175平米 , 南 , 毛坯 , 中楼层,共7层, 板楼
满两年  四房两厅两卫  高区  视野无遮挡 随时可看,华夏东城一品 ,安镇, 175万,"14,058元/平",4室2厅 , 124.49平米 , 南 北 , 毛坯 , 高楼层,共18层, 暂无数据
土出已交 税少 简装两居室，业主诚心出售,大诚苑 ,安镇, 90万,"9,969元/平",2室2厅 , 90.28平米 , 南 , 简装 , 低楼层,共6层, 暂无数据
恒大精装两房，重新改造装修，家具家电齐全拎包入住,恒大绿洲一期 ,东亭, 135万,"17,104元/平",2室2厅 , 78.93平米 , 南 , 精装 , 高楼层,共18层, 板楼
东璟家园 次新小区 采光好 诚心卖,东璟家园A区 ,东亭, 110万,"12,059元/平",2室2厅 , 91.22平米 , 南 , 毛坯 , 低楼层,共31层, 塔楼
东亭地铁口200米，大2房房东诚心出售,豪门·君怡花苑 ,东亭, 144万,"14,439元/平",2室1厅 , 99.73平米 , 南 , 精装 , 低楼层,共22层, 板楼
东璟家园精装电梯2房 柏庄+二泉 总价低 楼层好,东璟家园A区 ,东亭, 78万,"10,813元/平",2室1厅 , 72.14平米 , 南 , 简装 , 高楼层,共34层, 板塔结合
庄桥地铁口大3房，房东诚心出售,东亭锡沪东路148号 ,东亭, 141万,"9,527元/平",4室1厅 , 148.01平米 , 南 , 简装 , 中楼层,共6层, 暂无数据
7月满五，随时看房，诚心出售，中间楼层,长泰国际社区 ,东亭, 130万,"15,654元/平",3室2厅 , 83.05平米 , 南 , 毛坯 , 中楼层,共34层, 板楼
东亭地铁口500米，大3房，房东急售,锦绣花园(锡山区) ,东亭, 157万,"13,705元/平",3室2厅 , 114.56平米 , 南 , 简装 , 高楼层,共6层, 暂无数据
带车库 户型好 朝南格局，楼层好，视野宽阔，采光充足,云林苑 ,东亭, 123万,"13,464元/平",3室2厅 , 91.36平米 , 南 , 精装 , 低楼层,共6层, 塔楼
商品房 带车库 边套 看房方便 价格可谈,云林苑西区 ,东亭, 119万,"11,783元/平",2室2厅 , 101平米 , 南 北 , 精装 , 中楼层,共7层, 板楼
东亭八佰伴旁次新小区，交通便利，采光、通风无遮挡,绿地·香颂 ,东亭, 145万,"17,102元/平",2室2厅 , 84.79平米 , 南 , 简装 , 高楼层,共33层, 板塔结合
双外可买，三开间朝南，自住装修保养好，看房方便,恒大绿洲三期 ,东亭, 163万,"18,805元/平",2室2厅 , 86.68平米 , 南 , 精装 , 低楼层,共32层, 板楼
柏庄可用 电梯商品房 总价低  赛维拉公寓   诚心出售,赛维拉公寓 ,东亭, 56万,"13,446元/平",1室1厅 , 41.65平米 , 北 , 简装 , 中楼层,共15层, 板塔结合
